,0,1,2,3,4,5,6,7,8
10,2nd and 3rd steps since they were much smaller steps,Started with the 3rd step since it was the largest payoffs,One of the 3rd steps,When I got the the +48,limited the clicks as much as possible,"At first, but understood the game during the training",Trying to determine the best strategy with the various factors,,49
11,I did not click on negatives initially.,I checked out a few nodes and then proceeded in the best possible indicated direction.,I was most likely to click where there was a green positive node.,It was just guesswork.,No.,No.,I learned to try to deliberate before making a decision.,No.,63
12,"I did not click on nodes that would lead only to 24 or less. Later, I did not click on any nodes in the first two tiers, or any nodes after I found the first 48.","I clicked on the nodes at the end, because I would head down the path that led me to the 48. If there were two 48s, at first I would click on the first 2 tiers to find the most profitable path, and later I simply stopped when I uncovered the first 48.","It's hard to remember, but I think bottom left.","At first, I stopped clicking when I found the best path to the 48. Later, I stopped clicking when I found the firsts 48.","That's about it. As described above, it changed as I progressed.",No.,I did not learn a great deal.,No.,21
13,Stayed away from negative nodes,End goal was to get to 48,Each of the end nodes to find the one with 48,When I reached the highest valued node,Pretty straightforward...find 48 and go to it,nope,Apparently I didn't have the best strategy since my bonus wasn't that high,,32
14,If end step is higher value then I go with that,I randaomnly clicked corners,corners of all four sides,I just search to get 48,"I tried to click every corner, If I find 48  then I stopped
",Nope,When we get something then We've to loose something,Good,34
15,"If both last steps on a path were negative and at least one other path offered a positive payout, I did not click on the second step of that path. I did not click on the first step except on rare occasions, since the penalty quickly became understood to be low.","I first chose to click on each of the last steps on each branch of each of the three paths. If the last steps on two paths offered the same positive payoff, I would click on the second steps for each of these to see which offered the best overall path.",At the last steps of each path.,"If a path had both last steps with a a $48 positive payout, I would choose that path. Otherwise, if it became clear one path had a high probability of being the best option, I would stop clicking on nodes.",Just trying to maximize the potential payoff while clicking on as few nodes as possible ,No,It's OK to spend money to make money! I wasn't keen on clicking on nodes during the training round.,A fun HIT. Thank you!,63
16,the lowest number,the highest number,different each time,just guessed,I had no strategy,no,Nothing,,37
17,"If the end node had a negative, or did not have the highest value (48), I would not click anymore along that trail.",I started with the end location to see what the result would be.  I would follow back from the highest amount.,The end node of the top left corner.  ,"Once I discovered the ""richest"" path.  No need to know what are in nodes that I will not travel.","No; I think I have mentioned that above.  If I had more time, I think I could develop a better strategy. ",No.,How to follow the most profitable path.,None.,37
18,Same thing...just looking around for the best end nodes.,"I usually looked at the end nodes until I found a +48, then I went there.",End nodes,"Once I found a +48, or clicked all the end nodes...",That's about it....unless I'm missing something I was always better off just going to the best end square.,No.,"Sadly, not a lot.",,40
19,It was random.,It was random.,Right.,I never went beyond the first move because I didnt want to waste money.,"The game seemed random, but looking back I realize i could have done better and should have used more clicks.",No.,To consider my options better.,Nope,41
20,A few times I didn't click if I felt there was no advantage based on how the test had gone. ,I clicked everywhere in case there was a +/-100 or something I didn't expect,In the Nodes where the $48 usually hid,I never stopped clicking. I'd rather sure money than to take risks. ,"I clicked all the nodes and picked the path with the most money. Even with the $1 fee, I still made a gain every round. ","No, pretty clear cut",I like spiders more when they find me money. ,NA,26
21,I wasn't going to click to reveal in the first or second step nodes because they have a small swing in value.,"Since I knew the outside nodes had the biggest values therefore provided the biggest swings, I only clicked on those to reveal where there was the largest positive values.","The third step nodes not very systematically, more at random.",If I had revealed the highest value of +48 then I wouldn't click any further,"I think thats about it, I thought there was a pattern but I either lost it or it was never there.","No, everything seemed pretty straightforward.","Its not where you start, its where you finish.","in this question, its 'comments' not 'coments', sorry but that's all I have, thanks!",31
22,on the first or second nodes because only the end mattered to me,i clicked on the end nodes cause that is where i would end up,on all the end pieces,when i found a 48,just went towards the biggest prize at the end,no,go where i know the end result,no,32
23,randomly,randomly,randomly,randomly,"no, i hate this game",yes.,not a goddamn thing,shitty game,none of your business
24,I tried to avoid nodes with negative number values from previous rounds,I did it at random based on where I thought the highest number values were,up,When the computer told me I needed to wait for x amount of seconds,I just tried to click where I thought the highest numbers would be,Not really,I learned how to play a new game and win some money,N/A,32
25,I decided not to click on circles after I had found a good path or if a path was clearly costly then I didn't click the intermediary circles because I wasn't going to take that path anyway.,I decided to click to final circles first to see what the last reward would be. Then I clicked the intermediary circles to see what would lose the least money.,I was most likely to click on the end circles.,I decided to stop clicking when I found a good path.,I wanted to check if there were better options after I had secured a good path already since I knew I could lose a little per click to reveal a bigger reward.,No.,I learned that spider is a metaphor for my life.,,22
26,The midpoint spots since the game is designed to continue until you reach the end of the path.,The terminal and/or ending spots to determine the final value of the path.,The endpoints of each path.,After determining the maximum gain spot on the board.,The combination of endpoint spot and minimizing the reveal node penalty of $1.,No.,"There is always a cost associated with acquiring knowledge, monetary or otherwise.","The game was quite fun and a great psyche tool. As, the word coments above is missing the second m. ",25.
27,the middle are not that important,The ends are the ones that matter,the far ends,The middle ones ,nope,no,I get better at something with more practice,,32
28,"If there was no potential reward, I did not click.","I discovered that it was less money to expose cells than to guess. I clicked on the expensive ones first to eliminate the path if an inadequate reward was present. If there were two equivalent rewards, I then looked into the lower levels.",The big prize circles.,When I found the best path to the big reward. ,I think I should have ignored the first level prizes when clicking on circles.,No.,I am sub-average at this game.,"I enjoyed this activity, thank you.",48
29,Instinct.,From the arrows and guessing.,Left or right. ,When I got to the end.,"I wanted to be fairly repetitive, but it backfired.","Not really, I just needed a few more rounds of getting used to it.",I should have payed a fee to get the clues.,,24
30,I did not go where there was a -48 or -24 on the final step,I looked for the +48 nodes,Step three on the bottom right,Once I found a +48 with the highest second step I went that way,No,No,To work from the end to the beginning,Fun game,35
31,if there was a high negative for the destination then I don't click anywhere on that path,random to find the highest paid destination,on the last spot but random,when I found a path that would get me to the highest destination,no,no,"nothing really, sorry",no,45
32,"I decided not to check the pieces closest to me if there was a 48, because the reward was greater than the risk",I clicked the very end pieces and just went for it if I saw 48,The branch nodes,I never clicked the nodes closest to me because the reward was greater than the risk,I would stop clicking if I saw a 48 and just go for it.,"Only during the training game. After that, it seemed easier.","I'm not sure, maybe I learned a strategy of risk v reward?",Fun game!,31
33,"Just tried to find the +48 as quickly as possible and if it wasn't available, tried to find the spot that would give the best profit. ",Just tried to find the +48 as quickly as possible. ,I tried to mix it up. Mostly at the top but started clicking left and right randomly. ,After I found the +48 or the highest possible profit.,Nothing else to it really. ,"Nope, everything was really easy to understand. ",How to maximize where I clicked to get the most profit. ,Nothing to add. ,36
34,not on step leading to negative final step,final step check,final steps,when a positive value in the final step was determined,chance,no,how to play the game,no,46
35,I didn't click on the in-between nodes if the path to the highest last node was obvious,"Given how much larger a value the last steps tended to be, I clicked on them to get a sense of where I should head, and only if there were two seemingly identical paths did I click on the in-between nodes",On the bottom left and moving clockwise,I stopped clicking when the path to the highest last node became clear,I eventually tried to just go for the first 48 I saw. I think that jumping the gun like that probably backfired,"No, especially with the practice rounds the game was easy to get a good grasp on",I picked up on the range of possible values for each node fairly quickly,That was interesting. Thank you for the invitation,27
36,I avoided any path that did not lead to a 48,I looked for a 48 at the end and followed the path that would lead to it. If there was no 48 I looked for the best path to a 24.,the nodes on the end. I generally started on the bottom left one for no particular reason.,I stopped clicking as soon as I found a path that ended in 48,not really,no,To try to use fewer clicks.,,36
37,If the first click was a positive amount.,If the previous round had a positive amount.,Right,I didn't.,It was all random.,No,That I can get positive amounts even if the first click is negative.,none,21
38,When it is negative we dont want to cicke else our values will get reduced,Just from Training block,Always on 48 value which is positive,Stop clicking at the end of the block,Good game to earn :),None,Game of Myth and knowledge,,34
39,"Same, I felt led to the left, maybe because it did so well in the practice.",Stupid conclusion. I kept sticking with that left side from OCD,The left,I ran out of space,I did terribly! That's what I can describe my strategy. I want to try it again. Addicting,no,No bonus and not to stick with things out of feelings,"I loved t, thanks for letting me be a part of this",34
40,It was just random.,"random, I didn't think there would be a pattern.",A,when no other images came up,no strategy for me at.,yes because it was just chance,not much,,35
41,didn't click the middle steps,randomly,The last steps,when I found $48,"ingore the first steps, because that sweet sweet $48 payday will cover any stepping stone expenses.",no,I learned that spiders love money.,Thanks for a cool hit.,21
42,If I saw that there was 2 reds in a row I did not click,I clicked until I was able to find at least a 24 or a 48 that was green,at the top left or right or the left hand side up,if I saw a 24 or 48 and the number before it was green I stopped clicking and went for it,I really did not have a strategy I just went mainly by gut instinct. sometime I feel as if I might have clicked too many circles. I just got nervous that I might get all red,no there was nothing confusing. I do think I should not have pushed so many of the circles but again I guess I figured for the one dollar it was worth it ,I am not really sure what I learned. I guess sometimes it is good to take chances because they can pay off,n/a,42
43,"didn't waste time on the small values, they weren't enough of a consideration to waste a dollar on.",Clicked the ending nodes until I found a $48 and went for it.,the bottom right or bottom left ending nodes.,Clicked the ending nodes until I found a $48 and went for it.,Clicked the ending nodes until I found a $48 and went for it pretty much sums it up.,No it was straightforward.,A bit of efficiency.,,32
44,were not interested in the first nodes,searched for 48 on the outer nodes first,"outer node, mostly bottom right",mostly after I found the max node outside,seemed pretty straight forward,no,"i probably learned the system of value distribution of this experiment, nothing else.",,37
45,I decided not to click on nodes if there was any negative values in the end nodes,I decided to click on all end nodes to see which ones paid higher,On the end rounds,I stopped clicking when I found the best path,I just tried my best to find the path with the biggest payout.,"No, it was easy enough to understand.",I learned that not all paths lead to money.,,54
46,Random,Random,Random,I didn't,"It wasn't a good strategy
",Nope,Not a thing,"I hope my answers help with your study!
",60
47,"I didn't click the middle steps, where I had to land no matter what",I tried to find the highest payoff.,the final destination,I stopped once I found a good path to the 48,"I just wanted to find the biggest payoff, because I knew it would always result in a positive",no,I learned how to find the end goal.,n/a,27
48,guess,guess,guess,when I arrived at the end,no,a little,it was slow,no,28
49,I tried not to click on the middle values unless I really needed to to determine which end value to go for.,"I decided that the end values were the most important, so I clicked there; that's where the most money was.","On one of the end values, none more likely than any other, except maybe the one that my cursor was closest to.","It varied. I would nearly always click all of the end values, but sometimes, once I found a 48, I would just go for it. I felt it was more beneficial though to click on all the values and lose that money than to lose 24 or 48. If I found two 48s, then I would click on values on the way to each one to decide which was the best to go for.","If I played longer and kept track of what I was clicking on better, then I may be able to develop a better strategy.",No.,Sometimes it's worth it to spend money to get money.,"I was in the final round when I went to click on a node. I think I missed the node, and clicked outside of the game, and this sent me back to the consent page, so I had to start at the beginning again.",36
50,"I opted not to waste money on the low-value nodes, as long as I had a high-value node to head for.","I decided to click on the most valuable nodes, since it was most valuable to head for the $48 regardless of what negative nodes were in the way.","Any one of the 3rd, high-potential nodes. I attempted to randomize my selection of which particular high-potential node to pick, but such things are rarely truly random.","Once I located a $48 node, there was no need to waste money on further investigation. No matter what nodes I landed on en route to the $48 node, I would come out ahead.",My earnings increased greatly when I realized it was a waste of money to investigate the low-value nodes.,It was pretty straightforward.,"It's worth investing resources in gathering information, but only up to the point where you determine a worthwhile goal. Furthermore, if your goal is worthwhile and attainable, you can afford to sustain losses along the way.",I appreciate that you offered the practice rounds beforehand. That helped me solidify my strategy early during the actual test rounds.,32
51,just took a guess,just took a guess,to the right,just took a guess,"just guessed most of everything, no pattern",no,My assumptions need work.,I will take a nice bonus if you feel giving today.,38
52,I tried to click different options,I tried to change the direction i went every time,up,once i was to an end,i did not use a strategy,no,That I should have thought more about where to move,,34
53,,,,,,,,,
54,i didnt ,just at random,to the right,until the end of the node,na,no,nothing,,33
55,not clicking on initial steps because they where low values ,by looking for final reward ,at reward node at the end,when system said I only get 1 click ,I think I might have misunderstood rules about nodes,no except maybe I misunderstood how to use node reader,to try to guess correctly,,43
56,The lowest potential numbers do not have as much of a risk. ,I clicked on the nodes that would have the highest potential numbers,The last possible spots in each direction. ,When I saw the message about it costing to click.,I think that about covers it. ,Nope. ,I don't know that I learned anything. I guess figuring out how to complete each round successfully. ,none,36
57,the ones that are closest to the mode,I clicked on the circles that are farthest from the mode first,At the places farthest from the mole,When I saw the price at $48,none,none,Be strategic,interesting survey,39
58,I never got into the habit of clicking the second node the spider encounters.  I originally thought the first node was more important in figuring out what path was better but I realized the amounts in the end nodes had more of a bearing on how much I earned.,I originally thought that picking a node next to the spider would help me narrow down my choices but I changed that strategy once I earned more money.  At that point I started to focus on the end point nodes instead.,"Initially, I focused on the right or left nodes directly next to the spider but eventually, I focused on the outer nodes where the rewards were greatest.  This became truer as I accumulated more money and I could absorb the cost of picking more nodes.",I would click the final nodes until I came across a green 48 and I would make a path towards that reward.,"I realize at the beginning when I had less money, I took more risks with my choices by only clicking 1 or 2 nodes but as I accumulated more money, I actually became more risk averse and I would click more and more nodes.  I think I was afraid there would be a ""wildcard"" node where I would lose 500 or something.",Nothing was hard to understand but the game had a bit of a learning curve to it (at least for me).  ,I learned that looking at the end goal is more profitable then looking at the first choice I encountered.  I also realized I took bigger chances (clicking fewer nodes) when I had less money and I took fewer chances (clicking more nodes) when I had more money.  Maybe that's how the rich STAY rich!,Interesting study! Good luck with your research!,36
59,the interior node had the least cost/reward,the end nodes had the most cost/reward benefit,on one of the extreme nodes,when i reached the maximum possible reward,,no,the benefits of risk/reward,,34
60,Did not click on paths with highest negative values.,"Click on highest values first to determine greatest risk/reward, then in case of a ""tie"", move up to middle/lower values to determine path.",All end nodes,When it was clear which path was most likely to yield highest return.,Not really!,No,Focus on the points of highest impact,,36
61,THE ones that were negative,I JUST CLICKED THE POSITIVE RESULTS,the positive result,when i seen the positive 48,nope,no,it seemed like a maze,,33
62,where it was a negative and red,Where the green positive money is the 48,the highlighted corners,when I got to the last positive number and the arrows are pointing the opposite because I can only travel in the way of the arrow,going in the way of the green nodes where it lead to the highest pay,I kept forgetting to click on the highlighted areas at first,To follow direction firstly. ,I feel silly it took me a little bit to follow along but now I see it was as simple as pie.,50
63,"I didn't really, just kept starting with the lower left node",I just started on the left and went from there,The lower left node,When i found a green 24 or 48,stopped clicking once i got a green 24 or 48 and chose that path,no,strategy,,35
64,See above.,"I pretty much did it at random, but if in the last game, 48 was at one particular point, I usually tried a different point.",It varied.,When I found 48.,That's about it.,It took me a little while to understand what to do.,I learned to click on the nodes to find out where the 48 was. It was worth spending money on doing that because I still ended up making money.,it was fun.,55
65,"Mostly, I didn't click the step 1 and 2, because the dollar amounts were low. ","I clicked all of the end nodes, since those were the highest dollar amount. ",All 6 end nodes. ,"When I found the highest dollar amount, I usually stopped clicking and went that route. ",I mostly just focused on the end nodes. ,no,I'm mostly focused on the end result. ,,39
66,When I already clicked other steps nearby I was less likely to click first steps in those corners,I clicked on the last steps first to see which were worthwhile,the last step in any given corner,Once I had enough information about each last step,I tried to refrain from clicking to see values excessively ,no,How o navigate the spider web in close to as little clicks as possible,fun,22
67,The first and second steps had low values.,The corners to see the end goal.,Yes I was.,When I found the highest I could earn.,Nothing else ,None,Look at the options that are most beneficial to you.,None,22
68,yes,yes ,right,yes,good ,yes,its just a game ,nice,76
69,I couldn't figure it out.,I tried to figure out where the highest value was.,Left or top.,I usually just tried once and had an idea what other values would be.,"I tried figuring out the pattern, but could not see it.",The values after clicking didn't seem to have an obvious pattern to me.  I couldn't reproduce results.,I'm not sure I learned very much.  I couldn't figure out what the values would be.,Thanks!,38
70,I tried to go with my feelings.,I followed a pattern.,The top right.,When I was losing too much money.,No.,No.,I need to go with my feelings.,No.,37
71,Not inside nodes first,Corners first,Corners left,Felt good of the amount I could earn.,Just making sure I earned positive,nop,Nothing,,29
72,LEFT SIDE,CENTER,RIDE SIDE,TOP,NO,NO,CALCULATING,GOOD ,55
73,On nodes that didn't lead to the desire end node.,"To differentiate between the ""traveling"" costs to get to the desired end node.",The end nodes,When I found a path I wanted to take.,"At the end, my strategy evolved to stop clicking once I discovered a non-negative path.  If I could do it over, I'd have made more money","No, kids would enjoy it.","Spend more time finding developing a strategy.  Observe the conditions of the constrained ""reality"" of the game.",Good experiment!,55
74,I didn't click the middle paths if there wasn't a $48 at the end,"I clicked to find the $48 at the very end of the paths, then if there were multiple $48 I clicked to find which path would be less costly to walk through",The last node of every path.,When I felt I had enough information to continue. ,"I clicked the very last nodes. I clicked to find at least one $48 in each pair (if I found a $48 I didn't click the other one, since even if it were another $48 I wouldn't incur costs to get to it anyways). ",Nope.,I learned it was cheaper to unclick the nodes than to guess where might be most rewarding to go.,That was a lot of fun!,23
75,the earlier stages didn't matter so I would often not click them just the end stages,started with the biggest paying nodes to try and find the biggest payout,"one of the ends, usually the upper right one",when I found a green 48 or revealed all the final places,I tried to maximize my final payout and minimize my clicks to reveal,"No, the premise was simple enough",I feel like I learned about my decision making,,27
76,"Once I picked a direction, I didn't need to see the middle.",I wanted to see the best direction to start and the highest end result.,The top bubble closest to the spider.,Once I found the highest payout.,not really.,no,fewer clicks yield higher rewards.,no,32
77,"didn't need to click on anything but the end ones, useless","clicked on the ends because thats where it eded, long term outcome",randomly on an end,when I found a green,got it coverd,no,validated my usual choice to look at the long term outcome,,36
78,Where there was negative money around it,Based on the dollar amounts around it,Random,When I found a positive path,No,No,Nothing,,30
79,I didn't need to click the inside ones because they were much lower value.,"I clicked the end points until I found the positive 48, or 24 if the 48 wasn't found. ",Bottom left and work my way around. ,"Once I found a positive 48, there was no need to continue. I only clicked all end points if the +48 wasn't found. ",Not really.,No,Don't keep going after you've found the max payout.,no,39
80,just guessing honestly.,the blue corners of the game.,at the top of the chart.,after you click and see a negative value.,not really. was mostly luck.,not really.,how to make optimal move choices.,,25
81,Just picked randomly,Just picked randomly,Chose randomly,Once I found the $48,,I didnt understand at the beginning that  I should have been clicking the nodes on the ends. ,,,32
82,I didn't click on the earlier steps because they rewards were small enough not to make a big difference either way.,I clicked on the final steps because it was where the largest rewards were located.,I was most likely to click at the far left of the screen.,I quit clicking as soon as I found the positive $48 value.,Mainly I was looking for the $48 value.,No.,I learned how to prioritize higher values.,n/a,35
83,If the lane started out neg I went toward positive direction,Started to get the hang of it.  First box then end boxes.  Trying to find higher end points,All 3 starting points,"Starts out negative, I moved onto positive direction","Didnt start getting the hang of it till the end, Id be good at it if I redid it now.","Yeah the clicks, Can only click before I move.  I didnt catch that till halfway through the test.",Read the instructions slower,Fun one!,38
84,I stopped when I saw 48,I clicked on every last step to see which one is the highest,Upper right,When I saw 48,"No, it was really just me guessing",No,That I need to come up with a better strategy next time.,No,31
85,scouted out the area,Just randomly,corners,when I saw a good payoff,I clicked until i saw a good payout,no,to analyze all situations,great study,22
86,negative numbers ,I clicked on the last ones to see where to end up,the end,when I found a positive,just went for the most positive numbers.,no,that you have to get through the negative to get to the positive,have a great day,42
87,by looking beforehand,I went for the largest overall payoffs,toward wherever the largest payoff ended up,when it was a losing proposition,I always chose to look,no,to look ahead,none,50
88,random,random,up,i went for it all,to see if the positive were moving in around the board clockwise or counterclock wise.. pro tip.. it didnt.,not really,that i'm not very good at this game,was fun none the less,37
89,By revealing the last step.,"At first I decided to reveal the first step to decide, then the second step, then the third.",The first step.,I changed my strategy towards the end by only revealing the last step.,Towards the end I realized that revealing the last step was the most profitable.,No.,That you have to lose a little to get a lot.,"I would like to try this again, but use a different strategy to find out if the results would be better.",32
90,negative amounts,based on what path I chose ,the end caps,got to the green amounts,click the end caps only ,no,hit the ends caps,,46
91,I didn't click the inside nodes because I have to go on them anyway,i only clicked the outside nodes because that's where i had to move,top left node,when I found a 48 reward,just guesswork mostly,no,Keep clicking until I find 48 then go there. sometimes there was no 48,fun game,28
92,I decided not click nodes just prior to a negative number at the end of the web because the negative number at the end was unlikely to make up for the numbers prior to it.,I would start clicking at the farthest end of each web of nodes because those are where the high numbers were located and I avoided clicking around negative high number.,The nodes most far out in the web are where I started each time.,"If I hit a chain of two positive numbers in a row along a given web, I stopped clicking and went for it.","I would randomly decide which of the web-end nodes to click first, but basically always revealed them all. Most of the time I tried deductive reasoning to decide where to go and would spend several dollars revealing nodes, but sometimes I would just take a risk and try to save my dollars.","Once I got the hang of it, no. ","Sometimes you are surprised by negative numbers along the way, and sometimes you lost more money by revealing too many nodes for a cost, even though you chose the most lucrative path.",I kind of enjoyed this little game! It's good for waking up the brain a bit.,24
93,I mostly peeked and then followed the path to the highest number,I checked from the first node,Left,"I clicked to find out the first move and then if i found +48 as a last node, I followed that path","I tried to minimize how much I peeked to save the dollar, but the investment was worth it to look.",No,Investing a little paid off,Fun,33
94,"The closer the dot was to start, the lower the number.",I started on the outer most level of dots since they had the highest value.,On the dot I ended on last.,"Once I found the highest number, I stopped clicking.",,No,How to eliminate quickly and efficiently.,,33
95,I stopped clicking on the mid-nodes when I realized the value disparity between them and the end points. ,"I began finding the highest value end point, then moving in that direction no matter what the mid-node value was. ",At the bottom left and then I moved counter clockwise (mostly),"Once I found the 48 (or, if there was no 48, the last end point) I stopped clicking. ",That's pretty much it. ,Everything was easy to understand.,I learned this game system and about not worrying about the mid points if the end values were worth it. ,,37
96,I didn't see any point in clicking the first nodes,I clicked in the final nodes until I found a 48,last nodes,When I found a 48,not really,How I could get $5,That it wasn't that worthwhile clicking any nodes but the last. On second thought I probably should have found the best route to 48 as it only cost 1 to click but I could gain a little more by avodiing negative nodes.,"disappointed in my bonus, how are you supposed to be able to get $5",38
97,I mainly just clicked on the last steps,Random,Random,When I saw a 48,Nothing else to it,No,To just click on the last nodes,No,30
98,The inner nodes are the smallest values - it doesn't matter what they are as long as I know that I will end up on a larger positive number at the end.,"I clicked on the last nodes until I found a +24 or +48, because those were the highest values - the other nodes didn't really matter.",On any of the outer nodes - I frequently started on the right hand side.,I stopped once I found at least a +24 on an outer node.,Nothing I can think of.,No,I don't know if I learned much beyond forming a strategy to play this game.,None,33
99,I tended to not click on the first stage buttons because they were less and the end number was all that matter to me,I normally clicked the last stage buttons because I thought it was most important,The end numbers like 24 and 48,I stopped when I felt I had the information necessary to make a good choice,Nothing else,No,"I didn't learn much, just a bit of reasoning",no,30
100,I didn't want to waste clicks on checking to see since it would be a small value in the beginning,Revealing the end goal value was the most important since the paths were pretty much the same getting there,Each end point ,"I only needed to know which path to take. If I found the $48 on the first click, I would just take that path instead of clicking more.","Tried to find the highest end point value and chose the path towards it. If all were pretty similar, I would go towards the most positive path.",No,I'm not really sure what I learned.,n/a,26
101,test,random,left,tired,none,no,no,cool beans,39
102,All random,I couldn't see the pattern so it became all random,It was random each time,Couldn't ,,I feel like I missed a pattern that was developing through the training phase. ,That spiders and random nodes are frustrating,,36
103,from experience,from experience,last nodes,after I knew all the values,first clicked the last nodes and then the click on the way to the most value nodes,No,Find the highest value and work your way there,Fun study!,37
104,Whatever was highest - ,I usually followed the low money,The lowest number...usually to the left.,When I couldn't move again.,"Not really - I thought I had figured it out a bit, but apparently not!","It was only confusing in that I was trying to determine a pattern, and I was probably overthinking it. ",Nothing is guaranteed. ,,41
105,I chose not to click the same nodes that showed a loss of money.,I tried to click on each different node per game.,Yes.,"If the nodes showed the same amount in loss and win, I stopped clicking. If the first click was a positive gain, I stopped clicking.",I tried not to click too many times unless there were only negative nodes appearing. ,No.,I think there was a real strategy to the game that I didn't quite captured.,No more comments.,37
106,"By process of elimination. If I use the node revealer on the end nodes first, I could click as few as possible. Saving money in turn","By using the node revealer, I could see what the optimal and most lucrative path would be",The end nodes,When I had all the information that I needed to get to the optimal end node,"No, it has been fully described in the above answers",No,Nothing,no,24
107,avoided negative,try to go with positive,positive value,No more clicks,I didnt realize i could stop at a positive amount. ,I didint know i could stop,had fun,fun,33
108,I tried to avoid clicking step 1 unless absolutely necessary since it had the lowest return rate. ,"I started by trying to find the largest values on the furthest steps, if the largest value matched, I would then check the value of step 2.",The most outer circles.,I stopped clicking when it was clear that one path would lead me to the highest reward.,I figured that I'd rather overclick than underclick because the cost of clicking would ultimately be less than what I would lose. ,No,To be cautious when making decisions with money.,,22
109,I chose randomly. ,I made random choices. Trying to determine patterns ,1st node. I didn't realize I could click on more than one for a while into the game. ,It was random ,"I tried to notice patterns, but going so quickly made that difficult to do. ",No,"I'm pretty sure if given the chance, I would do much better. I should have clicked on more nodes. ",,43
110,"Once I had found 48 I did not click anymore, otherwise I clicked all the outside nodes. ",I clicked on the outside last nodes to see which one had the highest number.,Bottom left then work around. ,"When I found the highest numbered node, which was 48 or 24.",No,No ,Try to get the highest score. ,,38
111,If the number was in red,The largest number depending on the final destination.,The final destination.,.When I got to the largest number,I always went for the largest number.,No,I learned that sometimes it was better to stop when I was ahead instead of getting greedy.,No.,22
112,When the first two nodes equaled a decrease twice,Based on the value of the first nodes,To the left,When a positive gain was determined,Look for either both positive values or a negative positive that canceled each other out,No this was very straighforward,That my strategy skills need pratice,I had difficulty loading the experiment at first although I used Goggle Chrome,49
113,no point in clicking the closest node,looked for the 48 node,the last nodes,as soon as the 48 was found,as soon as you find 48 stop clicking,no,nothing,I play games all the time,25
114,I did not always click the first step.,I started clicking where the money values were the highest.,The outer branches (the 3rd step),I stopped clicking on paths that could not branch into a net gain.,"I only clicked on the 2nd and 1st steps if there was a ""tie"" in the 3rd branch for value, to make sure i would get the highest value along the way.",No,I learned how to play the Web of Cash game.,n/a,27
