pid,responses,rt,time_elapsed,applicable,lesson,other lessons
6,"{""Q0"":""To click on only the end circles."",""Q1"":""No"",""Q2"":""35"",""Q3"":""""}",25765,569819,0,1,
7,"{""Q0"":""I clicked the last nodes first, because they had the highest values."",""Q1"":""If I found a 48, I didn't really need to click the rest of them."",""Q2"":""I stopped clicking if there was only one 48"",""Q3"":""The final nodes."",""Q4"":""I would click the final nodes, find the 48s and then move towards them. If there were multiple 48s, I would click the 2nd tier as well.""}",75107,611764,,,
7,"{""Q0"":""I learned the last nodes are by far the most important."",""Q1"":""No, not really."",""Q2"":""29"",""Q3"":""That was fun! Thank you!""}",29312,642082,0,7,
8,"{""Q0"":""It was random"",""Q1"":""If it was negative previously"",""Q2"":""I stopped when the timer went off"",""Q3"":""To the left of the starting point"",""Q4"":""I tried to switch the movements as much as possible.""}",70685,487383,,,
8,"{""Q0"":""Pattern recognition."",""Q1"":""None"",""Q2"":""39"",""Q3"":""""}",22879,511273,1,6,
9,"{""Q0"":""It was based on the direction that I wanted to go."",""Q1"":""I would not click if it was the opposite of where I wanted to go."",""Q2"":""I thought that I could only click on one node. I just realized that I could have clicked on more. Stupid. "",""Q3"":""I was most likely to click left. "",""Q4"":""No. ""}",248412,732393,,,
9,"{""Q0"":""Nothing. "",""Q1"":""n/a"",""Q2"":""37"",""Q3"":""""}",34035,767432,-999,0,
10,"{""Q0"":""Started with the 3rd step since it was the largest payoffs"",""Q1"":""2nd and 3rd steps since they were much smaller steps"",""Q2"":""When I got the the +48"",""Q3"":""One of the 3rd steps"",""Q4"":""limited the clicks as much as possible""}",116523,796288,,,
10,"{""Q0"":""Trying to determine the best strategy with the various factors"",""Q1"":""At first, but understood the game during the training"",""Q2"":""49"",""Q3"":""""}",58154,855447,1,5,
11,"{""Q0"":""I checked out a few nodes and then proceeded in the best possible indicated direction."",""Q1"":""I did not click on negatives initially."",""Q2"":""It was just guesswork."",""Q3"":""I was most likely to click where there was a green positive node."",""Q4"":""No.""}",66071,531895,,,
11,"{""Q0"":""I learned to try to deliberate before making a decision."",""Q1"":""No."",""Q2"":""63"",""Q3"":""No.""}",33448,566355,1,5,
12,"{""Q0"":""I clicked on the nodes at the end, because I would head down the path that led me to the 48. If there were two 48s, at first I would click on the first 2 tiers to find the most profitable path, and later I simply stopped when I uncovered the first 48."",""Q1"":""I did not click on nodes that would lead only to 24 or less. Later, I did not click on any nodes in the first two tiers, or any nodes after I found the first 48."",""Q2"":""At first, I stopped clicking when I found the best path to the 48. Later, I stopped clicking when I found the firsts 48."",""Q3"":""It's hard to remember, but I think bottom left."",""Q4"":""That's about it. As described above, it changed as I progressed.""}",363403,814469,,,
12,"{""Q0"":""I did not learn a great deal."",""Q1"":""No."",""Q2"":""21"",""Q3"":""No.""}",25769,841258,-999,0,
13,"{""Q0"":""End goal was to get to 48"",""Q1"":""Stayed away from negative nodes"",""Q2"":""When I reached the highest valued node"",""Q3"":""Each of the end nodes to find the one with 48"",""Q4"":""Pretty straightforward...find 48 and go to it""}",87056,712056,,,
13,"{""Q0"":""Apparently I didn't have the best strategy since my bonus wasn't that high"",""Q1"":""nope"",""Q2"":""32"",""Q3"":""""}",39960,753023,0,5,
14,"{""Q0"":""I randaomnly clicked corners"",""Q1"":""If end step is higher value then I go with that"",""Q2"":""I just search to get 48"",""Q3"":""corners of all four sides"",""Q4"":""I tried to click every corner, If I find 48  then I stopped\n""}",135083,1117584,,,
14,"{""Q0"":""When we get something then We've to loose something"",""Q1"":""Nope"",""Q2"":""34"",""Q3"":""Good""}",50226,1168814,1,7,
15,"{""Q0"":""I first chose to click on each of the last steps on each branch of each of the three paths. If the last steps on two paths offered the same positive payoff, I would click on the second steps for each of these to see which offered the best overall path."",""Q1"":""If both last steps on a path were negative and at least one other path offered a positive payout, I did not click on the second step of that path. I did not click on the first step except on rare occasions, since the penalty quickly became understood to be low."",""Q2"":""If a path had both last steps with a a $48 positive payout, I would choose that path. Otherwise, if it became clear one path had a high probability of being the best option, I would stop clicking on nodes."",""Q3"":""At the last steps of each path."",""Q4"":""Just trying to maximize the potential payoff while clicking on as few nodes as possible ""}",319912,1157508,,,
15,"{""Q0"":""It's OK to spend money to make money! I wasn't keen on clicking on nodes during the training round."",""Q1"":""No"",""Q2"":""63"",""Q3"":""A fun HIT. Thank you!""}",41588,1200099,1,1,
16,"{""Q0"":""the highest number"",""Q1"":""the lowest number"",""Q2"":""just guessed"",""Q3"":""different each time"",""Q4"":""I had no strategy""}",22253,709859,,,
16,"{""Q0"":""Nothing"",""Q1"":""no"",""Q2"":""37"",""Q3"":""""}",10509,721376,-999,0,
17,"{""Q0"":""I started with the end location to see what the result would be.  I would follow back from the highest amount."",""Q1"":""If the end node had a negative, or did not have the highest value (48), I would not click anymore along that trail."",""Q2"":""Once I discovered the \""richest\"" path.  No need to know what are in nodes that I will not travel."",""Q3"":""The end node of the top left corner.  "",""Q4"":""No; I think I have mentioned that above.  If I had more time, I think I could develop a better strategy. ""}",101367,697326,,,
17,"{""Q0"":""How to follow the most profitable path."",""Q1"":""No."",""Q2"":""37"",""Q3"":""None.""}",24984,723329,0,6,
18,"{""Q0"":""I usually looked at the end nodes until I found a +48, then I went there."",""Q1"":""Same thing...just looking around for the best end nodes."",""Q2"":""Once I found a +48, or clicked all the end nodes..."",""Q3"":""End nodes"",""Q4"":""That's about it....unless I'm missing something I was always better off just going to the best end square.""}",83677,599268,,,
18,"{""Q0"":""Sadly, not a lot."",""Q1"":""No."",""Q2"":""40"",""Q3"":""""}",14888,615160,-999,0,
19,"{""Q0"":""It was random."",""Q1"":""It was random."",""Q2"":""I never went beyond the first move because I didnt want to waste money."",""Q3"":""Right."",""Q4"":""The game seemed random, but looking back I realize i could have done better and should have used more clicks.""}",88808,865899,,,
19,"{""Q0"":""To consider my options better."",""Q1"":""No."",""Q2"":""41"",""Q3"":""Nope""}",31930,898846,1,3,
20,"{""Q0"":""I clicked everywhere in case there was a +/-100 or something I didn't expect"",""Q1"":""A few times I didn't click if I felt there was no advantage based on how the test had gone. "",""Q2"":""I never stopped clicking. I'd rather sure money than to take risks. "",""Q3"":""In the Nodes where the $48 usually hid"",""Q4"":""I clicked all the nodes and picked the path with the most money. Even with the $1 fee, I still made a gain every round. ""}",138221,964222,,,
20,"{""Q0"":""I like spiders more when they find me money. "",""Q1"":""No, pretty clear cut"",""Q2"":""26"",""Q3"":""NA""}",39110,1004373,1,6,
21,"{""Q0"":""Since I knew the outside nodes had the biggest values therefore provided the biggest swings, I only clicked on those to reveal where there was the largest positive values."",""Q1"":""I wasn't going to click to reveal in the first or second step nodes because they have a small swing in value."",""Q2"":""If I had revealed the highest value of +48 then I wouldn't click any further"",""Q3"":""The third step nodes not very systematically, more at random."",""Q4"":""I think thats about it, I thought there was a pattern but I either lost it or it was never there.""}",198869,816446,,,
21,"{""Q0"":""Its not where you start, its where you finish."",""Q1"":""No, everything seemed pretty straightforward."",""Q2"":""31"",""Q3"":""in this question, its 'comments' not 'coments', sorry but that's all I have, thanks!""}",104377,921836,1,8,
22,"{""Q0"":""i clicked on the end nodes cause that is where i would end up"",""Q1"":""on the first or second nodes because only the end mattered to me"",""Q2"":""when i found a 48"",""Q3"":""on all the end pieces"",""Q4"":""just went towards the biggest prize at the end""}",138394,725525,,,
22,"{""Q0"":""go where i know the end result"",""Q1"":""no"",""Q2"":""32"",""Q3"":""no""}",45565,772101,1,1,
23,"{""Q0"":""randomly"",""Q1"":""randomly"",""Q2"":""randomly"",""Q3"":""randomly"",""Q4"":""no, i hate this game""}",9698,647215,,,
23,"{""Q0"":""not a goddamn thing"",""Q1"":""yes."",""Q2"":""none of your business"",""Q3"":""shitty game""}",14195,662413,-999,0,
24,"{""Q0"":""I did it at random based on where I thought the highest number values were"",""Q1"":""I tried to avoid nodes with negative number values from previous rounds"",""Q2"":""When the computer told me I needed to wait for x amount of seconds"",""Q3"":""up"",""Q4"":""I just tried to click where I thought the highest numbers would be""}",56360,436949,,,
24,"{""Q0"":""I learned how to play a new game and win some money"",""Q1"":""Not really"",""Q2"":""32"",""Q3"":""N/A""}",19883,457837,1,8,
25,"{""Q0"":""I decided to click to final circles first to see what the last reward would be. Then I clicked the intermediary circles to see what would lose the least money."",""Q1"":""I decided not to click on circles after I had found a good path or if a path was clearly costly then I didn't click the intermediary circles because I wasn't going to take that path anyway."",""Q2"":""I decided to stop clicking when I found a good path."",""Q3"":""I was most likely to click on the end circles."",""Q4"":""I wanted to check if there were better options after I had secured a good path already since I knew I could lose a little per click to reveal a bigger reward.""}",175476,929193,,,
25,"{""Q0"":""I learned that spider is a metaphor for my life."",""Q1"":""No."",""Q2"":""22"",""Q3"":""""}",36885,967091,1,6,
26,"{""Q0"":""The terminal and/or ending spots to determine the final value of the path."",""Q1"":""The midpoint spots since the game is designed to continue until you reach the end of the path."",""Q2"":""After determining the maximum gain spot on the board."",""Q3"":""The endpoints of each path."",""Q4"":""The combination of endpoint spot and minimizing the reveal node penalty of $1.""}",139158,905334,,,
26,"{""Q0"":""There is always a cost associated with acquiring knowledge, monetary or otherwise."",""Q1"":""No."",""Q2"":""25."",""Q3"":""The game was quite fun and a great psyche tool. As, the word coments above is missing the second m. ""}",121119,1027464,1,2,
27,"{""Q0"":""The ends are the ones that matter"",""Q1"":""the middle are not that important"",""Q2"":""The middle ones "",""Q3"":""the far ends"",""Q4"":""nope""}",55118,546828,,,
27,"{""Q0"":""I get better at something with more practice"",""Q1"":""no"",""Q2"":""32"",""Q3"":""""}",36036,583871,1,7,
28,"{""Q0"":""I discovered that it was less money to expose cells than to guess. I clicked on the expensive ones first to eliminate the path if an inadequate reward was present. If there were two equivalent rewards, I then looked into the lower levels."",""Q1"":""If there was no potential reward, I did not click."",""Q2"":""When I found the best path to the big reward. "",""Q3"":""The big prize circles."",""Q4"":""I think I should have ignored the first level prizes when clicking on circles.""}",196381,917831,,,
28,"{""Q0"":""I am sub-average at this game."",""Q1"":""No."",""Q2"":""48"",""Q3"":""I enjoyed this activity, thank you.""}",75911,994746,1,8,
29,"{""Q0"":""From the arrows and guessing."",""Q1"":""Instinct."",""Q2"":""When I got to the end."",""Q3"":""Left or right. "",""Q4"":""I wanted to be fairly repetitive, but it backfired.""}",78544,681657,,,
29,"{""Q0"":""I should have payed a fee to get the clues."",""Q1"":""Not really, I just needed a few more rounds of getting used to it."",""Q2"":""24"",""Q3"":""""}",48578,731245,0,4,
30,"{""Q0"":""I looked for the +48 nodes"",""Q1"":""I did not go where there was a -48 or -24 on the final step"",""Q2"":""Once I found a +48 with the highest second step I went that way"",""Q3"":""Step three on the bottom right"",""Q4"":""No""}",72381,747429,,,
30,"{""Q0"":""To work from the end to the beginning"",""Q1"":""No"",""Q2"":""35"",""Q3"":""Fun game""}",28024,776460,0,1,
31,"{""Q0"":""random to find the highest paid destination"",""Q1"":""if there was a high negative for the destination then I don't click anywhere on that path"",""Q2"":""when I found a path that would get me to the highest destination"",""Q3"":""on the last spot but random"",""Q4"":""no""}",139592,828170,,,
31,"{""Q0"":""nothing really, sorry"",""Q1"":""no"",""Q2"":""45"",""Q3"":""no""}",28033,857209,-999,0,
32,"{""Q0"":""I clicked the very end pieces and just went for it if I saw 48"",""Q1"":""I decided not to check the pieces closest to me if there was a 48, because the reward was greater than the risk"",""Q2"":""I never clicked the nodes closest to me because the reward was greater than the risk"",""Q3"":""The branch nodes"",""Q4"":""I would stop clicking if I saw a 48 and just go for it.""}",123083,849152,,,
32,"{""Q0"":""I'm not sure, maybe I learned a strategy of risk v reward?"",""Q1"":""Only during the training game. After that, it seemed easier."",""Q2"":""31"",""Q3"":""Fun game!""}",48053,898215,1,7,
33,"{""Q0"":""Just tried to find the +48 as quickly as possible. "",""Q1"":""Just tried to find the +48 as quickly as possible and if it wasn't available, tried to find the spot that would give the best profit. "",""Q2"":""After I found the +48 or the highest possible profit."",""Q3"":""I tried to mix it up. Mostly at the top but started clicking left and right randomly. "",""Q4"":""Nothing else to it really. ""}",64452,506964,,,
33,"{""Q0"":""How to maximize where I clicked to get the most profit. "",""Q1"":""Nope, everything was really easy to understand. "",""Q2"":""36"",""Q3"":""Nothing to add. ""}",31559,539539,0,8,
34,"{""Q0"":""final step check"",""Q1"":""not on step leading to negative final step"",""Q2"":""when a positive value in the final step was determined"",""Q3"":""final steps"",""Q4"":""chance""}",91823,867444,,,
34,"{""Q0"":""how to play the game"",""Q1"":""no"",""Q2"":""46"",""Q3"":""no""}",33394,901842,0,8,
35,"{""Q0"":""Given how much larger a value the last steps tended to be, I clicked on them to get a sense of where I should head, and only if there were two seemingly identical paths did I click on the in-between nodes"",""Q1"":""I didn't click on the in-between nodes if the path to the highest last node was obvious"",""Q2"":""I stopped clicking when the path to the highest last node became clear"",""Q3"":""On the bottom left and moving clockwise"",""Q4"":""I eventually tried to just go for the first 48 I saw. I think that jumping the gun like that probably backfired""}",242532,851133,,,
35,"{""Q0"":""I picked up on the range of possible values for each node fairly quickly"",""Q1"":""No, especially with the practice rounds the game was easy to get a good grasp on"",""Q2"":""27"",""Q3"":""That was interesting. Thank you for the invitation""}",100647,952787,0,8,
36,"{""Q0"":""I looked for a 48 at the end and followed the path that would lead to it. If there was no 48 I looked for the best path to a 24."",""Q1"":""I avoided any path that did not lead to a 48"",""Q2"":""I stopped clicking as soon as I found a path that ended in 48"",""Q3"":""the nodes on the end. I generally started on the bottom left one for no particular reason."",""Q4"":""not really""}",102149,688740,,,
36,"{""Q0"":""To try to use fewer clicks."",""Q1"":""no"",""Q2"":""36"",""Q3"":""""}",70857,760603,0,1,
37,"{""Q0"":""If the previous round had a positive amount."",""Q1"":""If the first click was a positive amount."",""Q2"":""I didn't."",""Q3"":""Right"",""Q4"":""It was all random.""}",72907,602821,,,
37,"{""Q0"":""That I can get positive amounts even if the first click is negative."",""Q1"":""No"",""Q2"":""21"",""Q3"":""none""}",58228,662060,0,8,
38,"{""Q0"":""Just from Training block"",""Q1"":""When it is negative we dont want to cicke else our values will get reduced"",""Q2"":""Stop clicking at the end of the block"",""Q3"":""Always on 48 value which is positive"",""Q4"":""Good game to earn :)""}",42761,536332,,,
38,"{""Q0"":""Game of Myth and knowledge"",""Q1"":""None"",""Q2"":""34"",""Q3"":""""}",19147,556483,0,8,
39,"{""Q0"":""Stupid conclusion. I kept sticking with that left side from OCD"",""Q1"":""Same, I felt led to the left, maybe because it did so well in the practice."",""Q2"":""I ran out of space"",""Q3"":""The left"",""Q4"":""I did terribly! That's what I can describe my strategy. I want to try it again. Addicting""}",134891,591370,,,
39,"{""Q0"":""No bonus and not to stick with things out of feelings"",""Q1"":""no"",""Q2"":""34"",""Q3"":""I loved t, thanks for letting me be a part of this""}",38438,630828,1,1,8
40,"{""Q0"":""random, I didn't think there would be a pattern."",""Q1"":""It was just random."",""Q2"":""when no other images came up"",""Q3"":""A"",""Q4"":""no strategy for me at.""}",109003,1846968,,,
40,"{""Q0"":""not much"",""Q1"":""yes because it was just chance"",""Q2"":""35"",""Q3"":""""}",81905,1929881,-999,0,
41,"{""Q0"":""randomly"",""Q1"":""didn't click the middle steps"",""Q2"":""when I found $48"",""Q3"":""The last steps"",""Q4"":""ingore the first steps, because that sweet sweet $48 payday will cover any stepping stone expenses.""}",58452,525267,,,
41,"{""Q0"":""I learned that spiders love money."",""Q1"":""no"",""Q2"":""21"",""Q3"":""Thanks for a cool hit.""}",21042,547313,-999,0,
42,"{""Q0"":""I clicked until I was able to find at least a 24 or a 48 that was green"",""Q1"":""If I saw that there was 2 reds in a row I did not click"",""Q2"":""if I saw a 24 or 48 and the number before it was green I stopped clicking and went for it"",""Q3"":""at the top left or right or the left hand side up"",""Q4"":""I really did not have a strategy I just went mainly by gut instinct. sometime I feel as if I might have clicked too many circles. I just got nervous that I might get all red""}",150209,1010753,,,
42,"{""Q0"":""I am not really sure what I learned. I guess sometimes it is good to take chances because they can pay off"",""Q1"":""no there was nothing confusing. I do think I should not have pushed so many of the circles but again I guess I figured for the one dollar it was worth it "",""Q2"":""42"",""Q3"":""n/a""}",70172,1081936,1,4,
43,"{""Q0"":""Clicked the ending nodes until I found a $48 and went for it."",""Q1"":""didn't waste time on the small values, they weren't enough of a consideration to waste a dollar on."",""Q2"":""Clicked the ending nodes until I found a $48 and went for it."",""Q3"":""the bottom right or bottom left ending nodes."",""Q4"":""Clicked the ending nodes until I found a $48 and went for it pretty much sums it up.""}",108506,579738,,,
43,"{""Q0"":""A bit of efficiency."",""Q1"":""No it was straightforward."",""Q2"":""32"",""Q3"":""""}",35494,616233,1,6,
44,"{""Q0"":""searched for 48 on the outer nodes first"",""Q1"":""were not interested in the first nodes"",""Q2"":""mostly after I found the max node outside"",""Q3"":""outer node, mostly bottom right"",""Q4"":""seemed pretty straight forward""}",72934,578432,,,
44,"{""Q0"":""i probably learned the system of value distribution of this experiment, nothing else."",""Q1"":""no"",""Q2"":""37"",""Q3"":""""}",43162,622614,0,8,
45,"{""Q0"":""I decided to click on all end nodes to see which ones paid higher"",""Q1"":""I decided not to click on nodes if there was any negative values in the end nodes"",""Q2"":""I stopped clicking when I found the best path"",""Q3"":""On the end rounds"",""Q4"":""I just tried my best to find the path with the biggest payout.""}",107951,1140706,,,
45,"{""Q0"":""I learned that not all paths lead to money."",""Q1"":""No, it was easy enough to understand."",""Q2"":""54"",""Q3"":""""}",49983,1191695,0,8,
46,"{""Q0"":""Random"",""Q1"":""Random"",""Q2"":""I didn't"",""Q3"":""Random"",""Q4"":""It wasn't a good strategy\n""}",59776,945301,,,
46,"{""Q0"":""Not a thing"",""Q1"":""Nope"",""Q2"":""60"",""Q3"":""I hope my answers help with your study!\n""}",33489,979796,-999,0,
47,"{""Q0"":""I tried to find the highest payoff."",""Q1"":""I didn't click the middle steps, where I had to land no matter what"",""Q2"":""I stopped once I found a good path to the 48"",""Q3"":""the final destination"",""Q4"":""I just wanted to find the biggest payoff, because I knew it would always result in a positive""}",67413,911654,,,
47,"{""Q0"":""I learned how to find the end goal."",""Q1"":""no"",""Q2"":""27"",""Q3"":""n/a""}",21350,934042,0,8,
48,"{""Q0"":""guess"",""Q1"":""guess"",""Q2"":""when I arrived at the end"",""Q3"":""guess"",""Q4"":""no""}",30968,1168918,,,
48,"{""Q0"":""it was slow"",""Q1"":""a little"",""Q2"":""28"",""Q3"":""no""}",38344,1208299,0,8,
49,"{""Q0"":""I decided that the end values were the most important, so I clicked there; that's where the most money was."",""Q1"":""I tried not to click on the middle values unless I really needed to to determine which end value to go for."",""Q2"":""It varied. I would nearly always click all of the end values, but sometimes, once I found a 48, I would just go for it. I felt it was more beneficial though to click on all the values and lose that money than to lose 24 or 48. If I found two 48s, then I would click on values on the way to each one to decide which was the best to go for."",""Q3"":""On one of the end values, none more likely than any other, except maybe the one that my cursor was closest to."",""Q4"":""If I played longer and kept track of what I was clicking on better, then I may be able to develop a better strategy.""}",280524,944261,,,
49,"{""Q0"":""Sometimes it's worth it to spend money to get money."",""Q1"":""No."",""Q2"":""36"",""Q3"":""I was in the final round when I went to click on a node. I think I missed the node, and clicked outside of the game, and this sent me back to the consent page, so I had to start at the beginning again.""}",102335,1047641,1,7,1
50,"{""Q0"":""I decided to click on the most valuable nodes, since it was most valuable to head for the $48 regardless of what negative nodes were in the way."",""Q1"":""I opted not to waste money on the low-value nodes, as long as I had a high-value node to head for."",""Q2"":""Once I located a $48 node, there was no need to waste money on further investigation. No matter what nodes I landed on en route to the $48 node, I would come out ahead."",""Q3"":""Any one of the 3rd, high-potential nodes. I attempted to randomize my selection of which particular high-potential node to pick, but such things are rarely truly random."",""Q4"":""My earnings increased greatly when I realized it was a waste of money to investigate the low-value nodes.""}",142594,633533,,,
50,"{""Q0"":""It's worth investing resources in gathering information, but only up to the point where you determine a worthwhile goal. Furthermore, if your goal is worthwhile and attainable, you can afford to sustain losses along the way."",""Q1"":""It was pretty straightforward."",""Q2"":""32"",""Q3"":""I appreciate that you offered the practice rounds beforehand. That helped me solidify my strategy early during the actual test rounds.""}",93031,727580,1,2,
51,"{""Q0"":""just took a guess"",""Q1"":""just took a guess"",""Q2"":""just took a guess"",""Q3"":""to the right"",""Q4"":""just guessed most of everything, no pattern""}",56858,505630,,,
51,"{""Q0"":""My assumptions need work."",""Q1"":""no"",""Q2"":""38"",""Q3"":""I will take a nice bonus if you feel giving today.""}",55901,562552,1,6,
52,"{""Q0"":""I tried to change the direction i went every time"",""Q1"":""I tried to click different options"",""Q2"":""once i was to an end"",""Q3"":""up"",""Q4"":""i did not use a strategy""}",64176,861388,,,
52,"{""Q0"":""That I should have thought more about where to move"",""Q1"":""no"",""Q2"":""34"",""Q3"":""""}",27498,889972,0,5,
53,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":"""",""Q4"":""""}",9721,1378127,,,
53,"{""Q0"":"""",""Q1"":"""",""Q2"":"""",""Q3"":""""}",10565,1389698,-999,0,
54,"{""Q0"":""just at random"",""Q1"":""i didnt "",""Q2"":""until the end of the node"",""Q3"":""to the right"",""Q4"":""na""}",42970,731201,,,
54,"{""Q0"":""nothing"",""Q1"":""no"",""Q2"":""33"",""Q3"":""""}",13483,745723,-999,0,
55,"{""Q0"":""by looking for final reward "",""Q1"":""not clicking on initial steps because they where low values "",""Q2"":""when system said I only get 1 click "",""Q3"":""at reward node at the end"",""Q4"":""I think I might have misunderstood rules about nodes""}",122793,611564,,,
55,"{""Q0"":""to try to guess correctly"",""Q1"":""no except maybe I misunderstood how to use node reader"",""Q2"":""43"",""Q3"":""""}",47697,660267,1,5,
56,"{""Q0"":""I clicked on the nodes that would have the highest potential numbers"",""Q1"":""The lowest potential numbers do not have as much of a risk. "",""Q2"":""When I saw the message about it costing to click."",""Q3"":""The last possible spots in each direction. "",""Q4"":""I think that about covers it. ""}",90385,630280,,,
56,"{""Q0"":""I don't know that I learned anything. I guess figuring out how to complete each round successfully. "",""Q1"":""Nope. "",""Q2"":""36"",""Q3"":""none""}",63163,694449,-999,0,
57,"{""Q0"":""I clicked on the circles that are farthest from the mode first"",""Q1"":""the ones that are closest to the mode"",""Q2"":""When I saw the price at $48"",""Q3"":""At the places farthest from the mole"",""Q4"":""none""}",102145,946484,,,
57,"{""Q0"":""Be strategic"",""Q1"":""none"",""Q2"":""39"",""Q3"":""interesting survey""}",44547,992079,1,5,
58,"{""Q0"":""I originally thought that picking a node next to the spider would help me narrow down my choices but I changed that strategy once I earned more money.  At that point I started to focus on the end point nodes instead."",""Q1"":""I never got into the habit of clicking the second node the spider encounters.  I originally thought the first node was more important in figuring out what path was better but I realized the amounts in the end nodes had more of a bearing on how much I earned."",""Q2"":""I would click the final nodes until I came across a green 48 and I would make a path towards that reward."",""Q3"":""Initially, I focused on the right or left nodes directly next to the spider but eventually, I focused on the outer nodes where the rewards were greatest.  This became truer as I accumulated more money and I could absorb the cost of picking more nodes."",""Q4"":""I realize at the beginning when I had less money, I took more risks with my choices by only clicking 1 or 2 nodes but as I accumulated more money, I actually became more risk averse and I would click more and more nodes.  I think I was afraid there would be a \""wildcard\"" node where I would lose 500 or something.""}",820613,1406138,,,
58,"{""Q0"":""I learned that looking at the end goal is more profitable then looking at the first choice I encountered.  I also realized I took bigger chances (clicking fewer nodes) when I had less money and I took fewer chances (clicking more nodes) when I had more money.  Maybe that's how the rich STAY rich!"",""Q1"":""Nothing was hard to understand but the game had a bit of a learning curve to it (at least for me).  "",""Q2"":""36"",""Q3"":""Interesting study! Good luck with your research!""}",322297,1729451,1,1,
59,"{""Q0"":""the end nodes had the most cost/reward benefit"",""Q1"":""the interior node had the least cost/reward"",""Q2"":""when i reached the maximum possible reward"",""Q3"":""on one of the extreme nodes"",""Q4"":""""}",48661,527027,,,
59,"{""Q0"":""the benefits of risk/reward"",""Q1"":""no"",""Q2"":""34"",""Q3"":""""}",22847,550930,1,7,
60,"{""Q0"":""Click on highest values first to determine greatest risk/reward, then in case of a \""tie\"", move up to middle/lower values to determine path."",""Q1"":""Did not click on paths with highest negative values."",""Q2"":""When it was clear which path was most likely to yield highest return."",""Q3"":""All end nodes"",""Q4"":""Not really!""}",109253,787626,,,
60,"{""Q0"":""Focus on the points of highest impact"",""Q1"":""No"",""Q2"":""36"",""Q3"":""""}",30404,819032,1,1,
